population_group,measure,location,sex,age,cause,metric,val
All Population,Prevalence,Estonia,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.024990911
All Population,Prevalence,Estonia,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.031106164
All Population,Prevalence,Estonia,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.028776755
All Population,Prevalence,Estonia,Male,75-79 years,Alzheimer's disease and other dementias,Number,785.356744
All Population,Prevalence,Estonia,Female,75-79 years,Alzheimer's disease and other dementias,Number,1855.9788559271776
All Population,Prevalence,Estonia,Both,75-79 years,Alzheimer's disease and other dementias,Number,2641.3355998874463
All Population,Prevalence,Estonia,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.051111645
All Population,Prevalence,Estonia,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.062934752
All Population,Prevalence,Estonia,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.058884726
All Population,Prevalence,Estonia,Male,80-84 years,Alzheimer's disease and other dementias,Number,1166.498658055866
All Population,Prevalence,Estonia,Female,80-84 years,Alzheimer's disease and other dementias,Number,3497.753606705762
All Population,Prevalence,Estonia,Both,80-84 years,Alzheimer's disease and other dementias,Number,4664.252264761627
All Population,Prevalence,Estonia,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.092139275
All Population,Prevalence,Estonia,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.112160736
All Population,Prevalence,Estonia,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1063796206997235
All Population,Prevalence,Estonia,Male,85-89 years,Alzheimer's disease and other dementias,Number,822.4705017607492
All Population,Prevalence,Estonia,Female,85-89 years,Alzheimer's disease and other dementias,Number,3056.2579065432024
All Population,Prevalence,Estonia,Both,85-89 years,Alzheimer's disease and other dementias,Number,3878.728408303952
All Population,Prevalence,Estonia,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1385134901874436
All Population,Prevalence,Estonia,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1676416893311272
All Population,Prevalence,Estonia,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1604853975513183
All Population,Prevalence,Estonia,Male,90-94 years,Alzheimer's disease and other dementias,Number,376.9774648825114
All Population,Prevalence,Estonia,Female,90-94 years,Alzheimer's disease and other dementias,Number,1751.5181912837736
All Population,Prevalence,Estonia,Both,90-94 years,Alzheimer's disease and other dementias,Number,2128.495656166284
All Population,Prevalence,Estonia,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1844846438692139
All Population,Prevalence,Estonia,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2219334656640889
All Population,Prevalence,Estonia,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2142314604376347
All Population,Prevalence,Estonia,Male,60+ years,Alzheimer's disease and other dementias,Number,4572.169245988337
All Population,Prevalence,Estonia,Female,60+ years,Alzheimer's disease and other dementias,Number,13159.261916745118
All Population,Prevalence,Estonia,Both,60+ years,Alzheimer's disease and other dementias,Number,17731.431162733472
All Population,Prevalence,Estonia,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.033937779
All Population,Prevalence,Estonia,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.058538313
All Population,Prevalence,Estonia,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.049319799
All Population,Prevalence,Estonia,Male,95+ years,Alzheimer's disease and other dementias,Number,63.82413990334713
All Population,Prevalence,Estonia,Female,95+ years,Alzheimer's disease and other dementias,Number,528.8333870756659
All Population,Prevalence,Estonia,Both,95+ years,Alzheimer's disease and other dementias,Number,592.6575269790133
All Population,Prevalence,Estonia,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2192363519719191
All Population,Prevalence,Estonia,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2622933438647806
All Population,Prevalence,Estonia,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2568607157635597
All Population,Prevalence,Portugal,Male,60-64 years,Alzheimer's disease and other dementias,Number,2284.972266351993
All Population,Prevalence,Portugal,Female,60-64 years,Alzheimer's disease and other dementias,Number,2076.8035858969765
All Population,Prevalence,Portugal,Both,60-64 years,Alzheimer's disease and other dementias,Number,4361.775852248968
All Population,Prevalence,Portugal,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.006798817
All Population,Prevalence,Portugal,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.005438472
All Population,Prevalence,Portugal,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.006075265
All Population,Prevalence,Portugal,Male,65-69 years,Alzheimer's disease and other dementias,Number,4468.6647010607785
All Population,Prevalence,Portugal,Female,65-69 years,Alzheimer's disease and other dementias,Number,4097.776796596111
All Population,Prevalence,Portugal,Both,65-69 years,Alzheimer's disease and other dementias,Number,8566.441497656893
All Population,Prevalence,Portugal,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.014864049
All Population,Prevalence,Portugal,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.011680763
All Population,Prevalence,Portugal,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.013149808
All Population,Prevalence,Portugal,Male,70-74 years,Alzheimer's disease and other dementias,Number,8734.127117071668
All Population,Prevalence,Portugal,Female,70-74 years,Alzheimer's disease and other dementias,Number,8505.262439097287
All Population,Prevalence,Portugal,Both,70-74 years,Alzheimer's disease and other dementias,Number,17239.389556168953
All Population,Prevalence,Portugal,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.032458669
All Population,Prevalence,Portugal,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.026230053
All Population,Prevalence,Portugal,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.029054776
All Population,Prevalence,Portugal,Male,75-79 years,Alzheimer's disease and other dementias,Number,13625.125556410234
All Population,Prevalence,Portugal,Female,75-79 years,Alzheimer's disease and other dementias,Number,14969.594495819894
All Population,Prevalence,Portugal,Both,75-79 years,Alzheimer's disease and other dementias,Number,28594.72005223013
All Population,Prevalence,Portugal,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.065852861
All Population,Prevalence,Portugal,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.054884781
All Population,Prevalence,Portugal,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.059616008
All Population,Prevalence,Portugal,Male,80-84 years,Alzheimer's disease and other dementias,Number,16949.031455172306
All Population,Prevalence,Portugal,Female,80-84 years,Alzheimer's disease and other dementias,Number,21064.15018286514
All Population,Prevalence,Portugal,Both,80-84 years,Alzheimer's disease and other dementias,Number,38013.18163803746
All Population,Prevalence,Portugal,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.1170815351231524
All Population,Prevalence,Portugal,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.099583204
All Population,Prevalence,Portugal,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.106692961
All Population,Prevalence,Portugal,Male,85-89 years,Alzheimer's disease and other dementias,Number,15204.650667125405
All Population,Prevalence,Portugal,Female,85-89 years,Alzheimer's disease and other dementias,Number,23070.96973
All Population,Prevalence,Portugal,Both,85-89 years,Alzheimer's disease and other dementias,Number,38275.620397406594
All Population,Prevalence,Portugal,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1757252908303591
All Population,Prevalence,Portugal,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1501522667179194
All Population,Prevalence,Portugal,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1593651469307048
All Population,Prevalence,Portugal,Male,90-94 years,Alzheimer's disease and other dementias,Number,6627.859844442878
All Population,Prevalence,Portugal,Female,90-94 years,Alzheimer's disease and other dementias,Number,13162.949030755772
All Population,Prevalence,Portugal,Both,90-94 years,Alzheimer's disease and other dementias,Number,19790.80887519865
All Population,Prevalence,Portugal,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.229201549
All Population,Prevalence,Portugal,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.198958568
All Population,Prevalence,Portugal,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.208156868
All Population,Prevalence,Portugal,Male,60+ years,Alzheimer's disease and other dementias,Number,69875.42435813643
All Population,Prevalence,Portugal,Female,60+ years,Alzheimer's disease and other dementias,Number,92247.66914222571
All Population,Prevalence,Portugal,Both,60+ years,Alzheimer's disease and other dementias,Number,162123.09350036224
All Population,Prevalence,Portugal,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.05062039
All Population,Prevalence,Portugal,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.05173916
All Population,Prevalence,Portugal,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.051250963
All Population,Prevalence,Portugal,Male,95+ years,Alzheimer's disease and other dementias,Number,1980.992750501165
All Population,Prevalence,Portugal,Female,95+ years,Alzheimer's disease and other dementias,Number,5300.162880913379
All Population,Prevalence,Portugal,Both,95+ years,Alzheimer's disease and other dementias,Number,7281.155631414539
All Population,Prevalence,Portugal,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2651492350371876
All Population,Prevalence,Portugal,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2418341208387685
All Population,Prevalence,Portugal,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2477615130020553
All Population,Prevalence,Rwanda,Male,60-64 years,Alzheimer's disease and other dementias,Number,885.8748505360583
All Population,Prevalence,Rwanda,Female,60-64 years,Alzheimer's disease and other dementias,Number,1469.5462133267692
All Population,Prevalence,Rwanda,Both,60-64 years,Alzheimer's disease and other dementias,Number,2355.421063862826
All Population,Prevalence,Rwanda,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.006682452
All Population,Prevalence,Rwanda,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.008731104
All Population,Prevalence,Rwanda,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.007828467
All Population,Prevalence,Rwanda,Male,65-69 years,Alzheimer's disease and other dementias,Number,1206.6128755845068
All Population,Prevalence,Rwanda,Female,65-69 years,Alzheimer's disease and other dementias,Number,2340.8965621669386
All Population,Prevalence,Rwanda,Both,65-69 years,Alzheimer's disease and other dementias,Number,3547.509437751444
All Population,Prevalence,Rwanda,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.01195255
All Population,Prevalence,Rwanda,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.017548784
All Population,Prevalence,Rwanda,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.015138046
All Population,Prevalence,Rwanda,Male,70-74 years,Alzheimer's disease and other dementias,Number,1302.376276797145
All Population,Prevalence,Rwanda,Female,70-74 years,Alzheimer's disease and other dementias,Number,3093.1739893659096
All Population,Prevalence,Rwanda,Both,70-74 years,Alzheimer's disease and other dementias,Number,4395.550266163057
All Population,Prevalence,Rwanda,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.022721432
All Population,Prevalence,Rwanda,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.036590254
All Population,Prevalence,Rwanda,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.030986275
All Population,Prevalence,Rwanda,Male,75-79 years,Alzheimer's disease and other dementias,Number,1168.963718516644
All Population,Prevalence,Rwanda,Female,75-79 years,Alzheimer's disease and other dementias,Number,3440.6656274097127
All Population,Prevalence,Rwanda,Both,75-79 years,Alzheimer's disease and other dementias,Number,4609.629345926353
All Population,Prevalence,Rwanda,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.041886241
All Population,Prevalence,Rwanda,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.068887707
All Population,Prevalence,Rwanda,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.05920859
All Population,Prevalence,Rwanda,Male,80-84 years,Alzheimer's disease and other dementias,Number,956.6029165492084
All Population,Prevalence,Rwanda,Female,80-84 years,Alzheimer's disease and other dementias,Number,3407.611868207576
All Population,Prevalence,Rwanda,Both,80-84 years,Alzheimer's disease and other dementias,Number,4364.214784756781
All Population,Prevalence,Rwanda,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.072439622
All Population,Prevalence,Rwanda,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1187197090597021
All Population,Prevalence,Rwanda,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1041366932896796
All Population,Prevalence,Rwanda,Male,85-89 years,Alzheimer's disease and other dementias,Number,657.0877303
All Population,Prevalence,Rwanda,Female,85-89 years,Alzheimer's disease and other dementias,Number,2593.0533052728188
All Population,Prevalence,Rwanda,Both,85-89 years,Alzheimer's disease and other dementias,Number,3250.141035527576
All Population,Prevalence,Rwanda,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1130173415401333
All Population,Prevalence,Rwanda,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1816742301123962
All Population,Prevalence,Rwanda,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1618021048046267
All Population,Prevalence,Rwanda,Male,90-94 years,Alzheimer's disease and other dementias,Number,283.1349174352403
All Population,Prevalence,Rwanda,Female,90-94 years,Alzheimer's disease and other dementias,Number,1381.932053262246
All Population,Prevalence,Rwanda,Both,90-94 years,Alzheimer's disease and other dementias,Number,1665.0669706974857
All Population,Prevalence,Rwanda,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1549239155459248
All Population,Prevalence,Rwanda,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2408857696744493
All Population,Prevalence,Rwanda,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2201173552739916
All Population,Prevalence,Rwanda,Male,60+ years,Alzheimer's disease and other dementias,Number,6553.489154002214
All Population,Prevalence,Rwanda,Female,60+ years,Alzheimer's disease and other dementias,Number,18330.17627008057
All Population,Prevalence,Rwanda,Both,60+ years,Alzheimer's disease and other dementias,Number,24883.66542408281
All Population,Prevalence,Rwanda,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.019269579
All Population,Prevalence,Rwanda,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.037630616
All Population,Prevalence,Rwanda,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.030081685
All Population,Prevalence,Rwanda,Male,95+ years,Alzheimer's disease and other dementias,Number,92.83586832866192
All Population,Prevalence,Rwanda,Female,95+ years,Alzheimer's disease and other dementias,Number,603.2966510686075
All Population,Prevalence,Rwanda,Both,95+ years,Alzheimer's disease and other dementias,Number,696.1325193972693
All Population,Prevalence,Rwanda,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.1845314293920633
All Population,Prevalence,Rwanda,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2731812501575318
All Population,Prevalence,Rwanda,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2567332342437342
All Population,Prevalence,Zimbabwe,Male,60-64 years,Alzheimer's disease and other dementias,Number,804.2663643591749
All Population,Prevalence,Zimbabwe,Female,60-64 years,Alzheimer's disease and other dementias,Number,1540.438906135848
All Population,Prevalence,Zimbabwe,Both,60-64 years,Alzheimer's disease and other dementias,Number,2344.7052704950224
All Population,Prevalence,Zimbabwe,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.006338435
All Population,Prevalence,Zimbabwe,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.008362611
All Population,Prevalence,Zimbabwe,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.007537
All Population,Prevalence,Zimbabwe,Male,65-69 years,Alzheimer's disease and other dementias,Number,1102.638604646231
All Population,Prevalence,Zimbabwe,Female,65-69 years,Alzheimer's disease and other dementias,Number,2448.179663974205
All Population,Prevalence,Zimbabwe,Both,65-69 years,Alzheimer's disease and other dementias,Number,3550.8182686204364
All Population,Prevalence,Zimbabwe,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.011272798
All Population,Prevalence,Zimbabwe,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.016280462
All Population,Prevalence,Zimbabwe,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.014306889
All Population,Prevalence,Zimbabwe,Male,70-74 years,Alzheimer's disease and other dementias,Number,1478.5386280226724
All Population,Prevalence,Zimbabwe,Female,70-74 years,Alzheimer's disease and other dementias,Number,3592.33939
All Population,Prevalence,Zimbabwe,Both,70-74 years,Alzheimer's disease and other dementias,Number,5070.878017834983
All Population,Prevalence,Zimbabwe,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.021650286
All Population,Prevalence,Zimbabwe,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.033312943
All Population,Prevalence,Zimbabwe,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.028790866
All Population,Prevalence,Zimbabwe,Male,75-79 years,Alzheimer's disease and other dementias,Number,1885.078965457816
All Population,Prevalence,Zimbabwe,Female,75-79 years,Alzheimer's disease and other dementias,Number,4265.925966397871
All Population,Prevalence,Zimbabwe,Both,75-79 years,Alzheimer's disease and other dementias,Number,6151.004931855684
All Population,Prevalence,Zimbabwe,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.040863647
All Population,Prevalence,Zimbabwe,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.062996537
All Population,Prevalence,Zimbabwe,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.054028323
All Population,Prevalence,Zimbabwe,Male,80-84 years,Alzheimer's disease and other dementias,Number,2003.0377655636048
All Population,Prevalence,Zimbabwe,Female,80-84 years,Alzheimer's disease and other dementias,Number,4887.597078671978
All Population,Prevalence,Zimbabwe,Both,80-84 years,Alzheimer's disease and other dementias,Number,6890.634844235589
All Population,Prevalence,Zimbabwe,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.072184425
All Population,Prevalence,Zimbabwe,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1096063680779716
All Population,Prevalence,Zimbabwe,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.095251921
All Population,Prevalence,Zimbabwe,Male,85-89 years,Alzheimer's disease and other dementias,Number,1637.0016544892935
All Population,Prevalence,Zimbabwe,Female,85-89 years,Alzheimer's disease and other dementias,Number,4573.926043976861
All Population,Prevalence,Zimbabwe,Both,85-89 years,Alzheimer's disease and other dementias,Number,6210.927698466156
All Population,Prevalence,Zimbabwe,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1137590670578061
All Population,Prevalence,Zimbabwe,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1703764354445675
All Population,Prevalence,Zimbabwe,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1506187802090508
All Population,Prevalence,Zimbabwe,Male,90-94 years,Alzheimer's disease and other dementias,Number,909.1605137745086
All Population,Prevalence,Zimbabwe,Female,90-94 years,Alzheimer's disease and other dementias,Number,3046.27755
All Population,Prevalence,Zimbabwe,Both,90-94 years,Alzheimer's disease and other dementias,Number,3955.438063824273
All Population,Prevalence,Zimbabwe,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1566860176120265
All Population,Prevalence,Zimbabwe,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2283059457544349
All Population,Prevalence,Zimbabwe,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2065999459911307
All Population,Prevalence,Zimbabwe,Male,60+ years,Alzheimer's disease and other dementias,Number,10381.409395123972
All Population,Prevalence,Zimbabwe,Female,60+ years,Alzheimer's disease and other dementias,Number,26678.16671867674
All Population,Prevalence,Zimbabwe,Both,60+ years,Alzheimer's disease and other dementias,Number,37059.57611380072
All Population,Prevalence,Zimbabwe,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.026614623
All Population,Prevalence,Zimbabwe,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.044186066
All Population,Prevalence,Zimbabwe,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.037289546
All Population,Prevalence,Zimbabwe,Male,95+ years,Alzheimer's disease and other dementias,Number,561.6868988106651
All Population,Prevalence,Zimbabwe,Female,95+ years,Alzheimer's disease and other dementias,Number,2323.4821196579123
All Population,Prevalence,Zimbabwe,Both,95+ years,Alzheimer's disease and other dementias,Number,2885.1690184685763
All Population,Prevalence,Zimbabwe,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.1872930168845816
All Population,Prevalence,Zimbabwe,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2624279968134045
All Population,Prevalence,Zimbabwe,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2434174212896425
All Population,Prevalence,Bahrain,Male,60-64 years,Alzheimer's disease and other dementias,Number,273.7966467653956
All Population,Prevalence,Bahrain,Female,60-64 years,Alzheimer's disease and other dementias,Number,193.42968085898977
All Population,Prevalence,Bahrain,Both,60-64 years,Alzheimer's disease and other dementias,Number,467.2263276243856
All Population,Prevalence,Bahrain,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.009084933
All Population,Prevalence,Bahrain,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.010588948
All Population,Prevalence,Bahrain,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.009652525
All Population,Prevalence,Bahrain,Male,65-69 years,Alzheimer's disease and other dementias,Number,316.3881428026198
All Population,Prevalence,Bahrain,Female,65-69 years,Alzheimer's disease and other dementias,Number,277.9760781493275
All Population,Prevalence,Bahrain,Both,65-69 years,Alzheimer's disease and other dementias,Number,594.3642209519476
All Population,Prevalence,Bahrain,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.017093603
All Population,Prevalence,Bahrain,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.020977876
All Population,Prevalence,Bahrain,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.018714198
All Population,Prevalence,Bahrain,Male,70-74 years,Alzheimer's disease and other dementias,Number,343.90885029052646
All Population,Prevalence,Bahrain,Female,70-74 years,Alzheimer's disease and other dementias,Number,341.6474934787857
All Population,Prevalence,Bahrain,Both,70-74 years,Alzheimer's disease and other dementias,Number,685.5563437693119
All Population,Prevalence,Bahrain,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.032029569
All Population,Prevalence,Bahrain,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.042632262
All Population,Prevalence,Bahrain,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.036560948
All Population,Prevalence,Bahrain,Male,75-79 years,Alzheimer's disease and other dementias,Number,144.59027811719915
All Population,Prevalence,Bahrain,Female,75-79 years,Alzheimer's disease and other dementias,Number,221.5605741179415
All Population,Prevalence,Bahrain,Both,75-79 years,Alzheimer's disease and other dementias,Number,366.1508522351409
All Population,Prevalence,Bahrain,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.061598227
All Population,Prevalence,Bahrain,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.083200062
All Population,Prevalence,Bahrain,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.073079655
All Population,Prevalence,Bahrain,Male,80-84 years,Alzheimer's disease and other dementias,Number,144.88321180338826
All Population,Prevalence,Bahrain,Female,80-84 years,Alzheimer's disease and other dementias,Number,252.89198011032104
All Population,Prevalence,Bahrain,Both,80-84 years,Alzheimer's disease and other dementias,Number,397.7751919
All Population,Prevalence,Bahrain,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.108997957
All Population,Prevalence,Bahrain,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1389231643600671
All Population,Prevalence,Bahrain,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1262938074227133
All Population,Prevalence,Bahrain,Male,85-89 years,Alzheimer's disease and other dementias,Number,108.2672149954588
All Population,Prevalence,Bahrain,Female,85-89 years,Alzheimer's disease and other dementias,Number,192.3405935247848
All Population,Prevalence,Bahrain,Both,85-89 years,Alzheimer's disease and other dementias,Number,300.6078085202436
All Population,Prevalence,Bahrain,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1614533012728411
All Population,Prevalence,Bahrain,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1963114687411917
All Population,Prevalence,Bahrain,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1821477246556189
All Population,Prevalence,Bahrain,Male,90-94 years,Alzheimer's disease and other dementias,Number,35.38990860578952
All Population,Prevalence,Bahrain,Female,90-94 years,Alzheimer's disease and other dementias,Number,73.82330629259947
All Population,Prevalence,Bahrain,Both,90-94 years,Alzheimer's disease and other dementias,Number,109.21321489838908
All Population,Prevalence,Bahrain,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.2084172306341845
All Population,Prevalence,Bahrain,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2497488554330861
All Population,Prevalence,Bahrain,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2346686199501347
All Population,Prevalence,Bahrain,Male,60+ years,Alzheimer's disease and other dementias,Number,1370.266847886685
All Population,Prevalence,Bahrain,Female,60+ years,Alzheimer's disease and other dementias,Number,1565.633493141866
All Population,Prevalence,Bahrain,Both,60+ years,Alzheimer's disease and other dementias,Number,2935.9003410285504
All Population,Prevalence,Bahrain,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.021439502
All Population,Prevalence,Bahrain,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.034537142
All Population,Prevalence,Bahrain,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.026874446
All Population,Prevalence,Bahrain,Male,95+ years,Alzheimer's disease and other dementias,Number,3.042594506
All Population,Prevalence,Bahrain,Female,95+ years,Alzheimer's disease and other dementias,Number,11.963786609116454
All Population,Prevalence,Bahrain,Both,95+ years,Alzheimer's disease and other dementias,Number,15.006381115423965
All Population,Prevalence,Bahrain,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2442495942948117
All Population,Prevalence,Bahrain,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2897663641011546
All Population,Prevalence,Bahrain,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2792165024705723
All Population,Prevalence,Seychelles,Male,60-64 years,Alzheimer's disease and other dementias,Number,18.954688005819275
All Population,Prevalence,Seychelles,Female,60-64 years,Alzheimer's disease and other dementias,Number,19.68601180163647
All Population,Prevalence,Seychelles,Both,60-64 years,Alzheimer's disease and other dementias,Number,38.64069980745576
All Population,Prevalence,Seychelles,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.007039087
All Population,Prevalence,Seychelles,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.008179948
All Population,Prevalence,Seychelles,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.007577508
All Population,Prevalence,Seychelles,Male,65-69 years,Alzheimer's disease and other dementias,Number,24.01093043695063
All Population,Prevalence,Seychelles,Female,65-69 years,Alzheimer's disease and other dementias,Number,26.233061305289706
All Population,Prevalence,Seychelles,Both,65-69 years,Alzheimer's disease and other dementias,Number,50.24399174224033
All Population,Prevalence,Seychelles,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.011967482
All Population,Prevalence,Seychelles,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.014327391
All Population,Prevalence,Seychelles,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.013093509
All Population,Prevalence,Seychelles,Male,70-74 years,Alzheimer's disease and other dementias,Number,25.365642363417027
All Population,Prevalence,Seychelles,Female,70-74 years,Alzheimer's disease and other dementias,Number,33.48996358599404
All Population,Prevalence,Seychelles,Both,70-74 years,Alzheimer's disease and other dementias,Number,58.85560594941106
All Population,Prevalence,Seychelles,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.020458023
All Population,Prevalence,Seychelles,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.026183132
All Population,Prevalence,Seychelles,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.0233651
All Population,Prevalence,Seychelles,Male,75-79 years,Alzheimer's disease and other dementias,Number,25.09255169267401
