population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Republic of Moldova,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0309745418912565,0.0358051372236039,0.0262616211468683
All Population,Prevalence,Republic of Moldova,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0459962456890761,0.0533988674277192,0.0389336277237422
All Population,Prevalence,Republic of Moldova,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0401096541347334,0.0464070100629974,0.0338589951617757
All Population,Prevalence,Belize,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,601.2307959815238,699.7842858634154,507.8931953944079
All Population,Prevalence,Belize,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,753.8567572724771,871.0716795831008,644.2587577508913
All Population,Prevalence,Belize,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,1355.0875532540006,1567.8490656282183,1150.58224586146
All Population,Prevalence,Belize,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0318394200019034,0.0370588260964406,0.0268958226986071
All Population,Prevalence,Belize,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0404986480904849,0.0467964766808146,0.0346100656196756
All Population,Prevalence,Belize,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0361379910232922,0.0418121591346514,0.0306832258407745
All Population,Prevalence,Armenia,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,9796.546294611027,11365.142220657071,8377.000435717933
All Population,Prevalence,Armenia,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,18605.4816933262,21470.58998486216,15840.105184579485
All Population,Prevalence,Armenia,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,28402.027987937225,32553.74364442058,24216.39666655004
All Population,Prevalence,Armenia,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0316295400493001,0.0366945716961974,0.0270495413200698
All Population,Prevalence,Armenia,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0423322689388051,0.0488526554686552,0.0360427486516492
All Population,Prevalence,Armenia,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0379078683424858,0.0434513394584833,0.0323231525309801
All Population,Prevalence,Sri Lanka,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,37117.09679419092,43146.1438655252,31340.69955007425
All Population,Prevalence,Sri Lanka,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,58114.04412844697,67625.92066332625,48072.19160885469
All Population,Prevalence,Sri Lanka,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,95231.14092263787,110933.02961773892,80036.39524175947
All Population,Prevalence,Sri Lanka,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0212040573834798,0.0246466932306968,0.0179035734585855
All Population,Prevalence,Sri Lanka,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0260954533967401,0.0303647987010562,0.0215873516703759
All Population,Prevalence,Sri Lanka,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0239427555308042,0.0278896496533235,0.0201228639103705
All Population,Prevalence,Haiti,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,10835.030148124595,12494.881721317792,9185.214894728982
All Population,Prevalence,Haiti,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,15051.90993390991,17420.750165017966,12740.437740391042
All Population,Prevalence,Haiti,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,25886.94008203452,29835.472664618308,21791.571220621063
